"String ID","Source text","Translation","Context","Path","Filename"
"1","0","0","","SYSTEM","0000.wav"
"2","1","1","","SYSTEM","0001.wav"
"3","2","2","","SYSTEM","0002.wav"
"4","3","3","","SYSTEM","0003.wav"
"5","4","4","","SYSTEM","0004.wav"
"6","5","5","","SYSTEM","0005.wav"
"7","6","6","","SYSTEM","0006.wav"
"8","7","7","","SYSTEM","0007.wav"
"9","8","8","","SYSTEM","0008.wav"
"10","9","9","","SYSTEM","0009.wav"
"11","10","10","","SYSTEM","0010.wav"
"12","11","11","","SYSTEM","0011.wav"
"13","12","12","","SYSTEM","0012.wav"
"14","13","13","","SYSTEM","0013.wav"
"15","14","14","","SYSTEM","0014.wav"
"16","15","15","","SYSTEM","0015.wav"
"17","16","16","","SYSTEM","0016.wav"
"18","17","17","","SYSTEM","0017.wav"
"19","18","18","","SYSTEM","0018.wav"
"20","19","19","","SYSTEM","0019.wav"
"21","20","20","","SYSTEM","0020.wav"
"22","21","21","","SYSTEM","0021.wav"
"23","22","22","","SYSTEM","0022.wav"
"24","23","23","","SYSTEM","0023.wav"
"25","24","24","","SYSTEM","0024.wav"
"26","25","25","","SYSTEM","0025.wav"
"27","26","26","","SYSTEM","0026.wav"
"28","27","27","","SYSTEM","0027.wav"
"29","28","28","","SYSTEM","0028.wav"
"30","29","29","","SYSTEM","0029.wav"
"31","30","30","","SYSTEM","0030.wav"
"32","31","31","","SYSTEM","0031.wav"
"33","32","32","","SYSTEM","0032.wav"
"34","33","33","","SYSTEM","0033.wav"
"35","34","34","","SYSTEM","0034.wav"
"36","35","35","","SYSTEM","0035.wav"
"37","36","36","","SYSTEM","0036.wav"
"38","37","37","","SYSTEM","0037.wav"
"39","38","38","","SYSTEM","0038.wav"
"40","39","39","","SYSTEM","0039.wav"
"41","40","40","","SYSTEM","0040.wav"
"42","41","41","","SYSTEM","0041.wav"
"43","42","42","","SYSTEM","0042.wav"
"44","43","43","","SYSTEM","0043.wav"
"45","44","44","","SYSTEM","0044.wav"
"46","45","45","","SYSTEM","0045.wav"
"47","46","46","","SYSTEM","0046.wav"
"48","47","47","","SYSTEM","0047.wav"
"49","48","48","","SYSTEM","0048.wav"
"50","49","49","","SYSTEM","0049.wav"
"51","50","50","","SYSTEM","0050.wav"
"52","51","51","","SYSTEM","0051.wav"
"53","52","52","","SYSTEM","0052.wav"
"54","53","53","","SYSTEM","0053.wav"
"55","54","54","","SYSTEM","0054.wav"
"56","55","55","","SYSTEM","0055.wav"
"57","56","56","","SYSTEM","0056.wav"
"58","57","57","","SYSTEM","0057.wav"
"59","58","58","","SYSTEM","0058.wav"
"60","59","59","","SYSTEM","0059.wav"
"61","60","60","","SYSTEM","0060.wav"
"62","61","61","","SYSTEM","0061.wav"
"63","62","62","","SYSTEM","0062.wav"
"64","63","63","","SYSTEM","0063.wav"
"65","64","64","","SYSTEM","0064.wav"
"66","65","65","","SYSTEM","0065.wav"
"67","66","66","","SYSTEM","0066.wav"
"68","67","67","","SYSTEM","0067.wav"
"69","68","68","","SYSTEM","0068.wav"
"70","69","69","","SYSTEM","0069.wav"
"71","70","70","","SYSTEM","0070.wav"
"72","71","71","","SYSTEM","0071.wav"
"73","72","72","","SYSTEM","0072.wav"
"74","73","73","","SYSTEM","0073.wav"
"75","74","74","","SYSTEM","0074.wav"
"76","75","75","","SYSTEM","0075.wav"
"77","76","76","","SYSTEM","0076.wav"
"78","77","77","","SYSTEM","0077.wav"
"79","78","78","","SYSTEM","0078.wav"
"80","79","79","","SYSTEM","0079.wav"
"81","80","80","","SYSTEM","0080.wav"
"82","81","81","","SYSTEM","0081.wav"
"83","82","82","","SYSTEM","0082.wav"
"84","83","83","","SYSTEM","0083.wav"
"85","84","84","","SYSTEM","0084.wav"
"86","85","85","","SYSTEM","0085.wav"
"87","86","86","","SYSTEM","0086.wav"
"88","87","87","","SYSTEM","0087.wav"
"89","88","88","","SYSTEM","0088.wav"
"90","89","89","","SYSTEM","0089.wav"
"91","90","90","","SYSTEM","0090.wav"
"92","91","91","","SYSTEM","0091.wav"
"93","92","92","","SYSTEM","0092.wav"
"94","93","93","","SYSTEM","0093.wav"
"95","94","94","","SYSTEM","0094.wav"
"96","95","95","","SYSTEM","0095.wav"
"97","96","96","","SYSTEM","0096.wav"
"98","97","97","","SYSTEM","0097.wav"
"99","98","98","","SYSTEM","0098.wav"
"100","99","99","","SYSTEM","0099.wav"
"101","100","100","","SYSTEM","0100.wav"
"102","200","200","","SYSTEM","0101.wav"
"103","300","300","","SYSTEM","0102.wav"
"104","400","400","","SYSTEM","0103.wav"
"105","500","500","","SYSTEM","0104.wav"
"106","600","600","","SYSTEM","0105.wav"
"107","700","700","","SYSTEM","0106.wav"
"108","800","800","","SYSTEM","0107.wav"
"109","900","900","","SYSTEM","0108.wav"
"110","thousand","thousand","","SYSTEM","0109.wav"
"111","and","and","","SYSTEM","0110.wav"
"112","minus","minus","","SYSTEM","0111.wav"
"113","point","point","","SYSTEM","0112.wav"
"114","volt","volt","","SYSTEM","volt0.wav"
"115","volts","volts","","SYSTEM","volt1.wav"
"116","amp","amp","","SYSTEM","amp0.wav"
"117","amps","amps","","SYSTEM","amp1.wav"
"118","milliamp","milliamp","","SYSTEM","mamp0.wav"
"119","milliamps","milliamps","","SYSTEM","mamp1.wav"
"120","knot","knot","","SYSTEM","knot0.wav"
"121","knots","knots","","SYSTEM","knot1.wav"
"122","meter per second","meter per second","","SYSTEM","mps0.wav"
"123","meters per second","meters per second","","SYSTEM","mps1.wav"
"124","foot per second","foot per second","","SYSTEM","fps0.wav"
"125","feet per second","feet per second","","SYSTEM","fps1.wav"
"126","kilometer per hour","kilometer per hour","","SYSTEM","kph0.wav"
"127","kilometers per hour","kilometers per hour","","SYSTEM","kph1.wav"
"128","mile per hour","mile per hour","","SYSTEM","mph0.wav"
"129","miles per hour","miles per hour","","SYSTEM","mph1.wav"
"130","meter","meter","","SYSTEM","meter0.wav"
"131","meters","meters","","SYSTEM","meter1.wav"
"132","foot","foot","","SYSTEM","foot0.wav"
"133","feet","feet","","SYSTEM","foot1.wav"
"134","degree celsius","degree celsius","","SYSTEM","celsius0.wav"
"135","degrees celsius","degrees celsius","","SYSTEM","celsius1.wav"
"136","degree fahrenheit","degree fahrenheit","","SYSTEM","fahr0.wav"
"137","degrees fahrenheit","degrees fahrenheit","","SYSTEM","fahr1.wav"
"138","percent","percent","","SYSTEM","percent0.wav"
"139","percent","percent","","SYSTEM","percent1.wav"
"140","milliamp-hour","milliamp-hour","","SYSTEM","mamph0.wav"
"141","milliamp-hours","milliamp-hours","","SYSTEM","mamph1.wav"
"142","watt","watt","","SYSTEM","watt0.wav"
"143","watts","watts","","SYSTEM","watt1.wav"
"144","milli-watt","milli-watt","","SYSTEM","mwatt0.wav"
"145","milli-watts","milli-watts","","SYSTEM","mwatt1.wav"
"146","DB","DB","","SYSTEM","db0.wav"
"147","DB","DB","","SYSTEM","db1.wav"
"148","RPM","RPM","","SYSTEM","rpm0.wav"
"149","RPM","RPM","","SYSTEM","rpm1.wav"
"150","G","G","","SYSTEM","g0.wav"
"151","G","G","","SYSTEM","g1.wav"
"152","degree","degree","","SYSTEM","degree0.wav"
"153","degrees","degrees","","SYSTEM","degree1.wav"
"154","radian","radian","","SYSTEM","rad0.wav"
"155","radians","radians","","SYSTEM","rad1.wav"
"156","milliliter","milliliter","","SYSTEM","ml0.wav"
"157","milliliters","milliliters","","SYSTEM","ml1.wav"
"158","fluid ounce","fluid ounce","","SYSTEM","founce0.wav"
"159","fluid ounces","fluid ounces","","SYSTEM","founce1.wav"
"160","milliliter per minute","milliliter per minute","","SYSTEM","mlpm0.wav"
"161","milliliters per minute","milliliters per minute","","SYSTEM","mlpm1.wav"
"162","hertz","hertz","","SYSTEM","hertz0.wav"
"163","hertz","hertz","","SYSTEM","hertz1.wav"
"164","millisecond","millisecond","","SYSTEM","ms0.wav"
"165","milliseconds","milliseconds","","SYSTEM","ms1.wav"
"166","microsecond","microsecond","","SYSTEM","us0.wav"
"167","microseconds","microseconds","","SYSTEM","us1.wav"
"168","hour","hour","","SYSTEM","hour0.wav"
"169","hours","hours","","SYSTEM","hour1.wav"
"170","minute","minute","","SYSTEM","minute0.wav"
"171","minutes","minutes","","SYSTEM","minute1.wav"
"172","second","second","","SYSTEM","second0.wav"
"173","seconds","seconds","","SYSTEM","second1.wav"
"174","point zero","point zero","","SYSTEM","0167.wav"
"175","point one","point one","","SYSTEM","0168.wav"
"176","point two","point two","","SYSTEM","0169.wav"
"177","point three","point three","","SYSTEM","0170.wav"
"178","point four","point four","","SYSTEM","0171.wav"
"179","point five","point five","","SYSTEM","0172.wav"
